input|agent
--------------------------------------------------------------------|------------------------
Create an Instagram caption about hand injuries and box cutter usage|ContentCreationAgent
Check compliance of this message with OSHA: 'No hard hat needed...'|ComplianceCheckerAgent
Write a voice-over script for crane safety training...|VoiceOverAgent
Translate this instruction into French and Spanish...|TranslatorAgent
Identify safety risks in operating a mobile scaffold...|RiskAssessmentAgent
Analyze safety training effectiveness...|AudienceAnalysisAgent
Adapt this safety message for workers in Japan...|ContentLocalizationAgent
Evaluate the usability of a digital incident report...|UsabilityTestingAgent
Analyze completion data from PPE training videos...|LearningAnalyticsAgent
Check if this message has a formal and professional tone...|StyleToneAnalysisAgent
Simulate an incoming task: 'Observation from Zone B...'|DataEngineerAgent
